datetime,White,Black,Winner,Elo White Before,Elo Black Before,Elo White After,Elo Black After
2021_04_07_19_26_40,FLAT_1000,SHUSS_1000_C64,SHUSS_1000_C64,1079,1247,1070,1255
2021_04_07_19_26_40,UCB_1000,FLAT_1000,UCB_1000,1112,1070,1125,1056
2021_04_07_19_26_40,FLAT_1000,UCB_1000,UCB_1000,1056,1125,1043,1137
2021_04_07_19_26_40,SHUSS_1000_C128,FLAT_1000,SHUSS_1000_C128,1192,1043,1200,1034
2021_04_07_19_26_40,FLAT_1000,SHUSS_1000_C128,SHUSS_1000_C128,1034,1200,1025,1208
2021_04_07_19_26_40,SHUSS_1000_C128,GRAVE_1000,GRAVE_1000,1208,1222,1193,1236
2021_04_07_19_26_40,GRAVE_1000,SHUSS_1000_C128,GRAVE_1000,1236,1193,1249,1179
2021_04_07_19_26_40,SHUSS_1000_C16,SH_1000,SH_1000,1223,1305,1211,1316
2021_04_07_19_26_40,SH_1000,SHUSS_1000_C16,SHUSS_1000_C16,1316,1211,1296,1230
2021_04_07_19_26_40,SHUSS_1000_C16,GRAVE_1000,SHUSS_1000_C16,1230,1249,1240,1238
2021_04_07_19_26_40,GRAVE_1000,SHUSS_1000_C16,GRAVE_1000,1238,1240,1248,1229
2021_04_07_19_26_40,SHUSS_1000_C16,UCT_1000,SHUSS_1000_C16,1229,1190,1237,1176
2021_04_07_19_26_40,UCT_1000,SHUSS_1000_C16,SHUSS_1000_C16,1176,1237,1163,1245
2021_04_07_19_26_40,SHUSS_1000_C64,UCB_1000,SHUSS_1000_C64,1255,1137,1265,1126
2021_04_07_19_26_40,UCB_1000,SHUSS_1000_C64,SHUSS_1000_C64,1126,1265,1116,1274
2021_04_07_19_26_40,SHUSS_1000_C128,RAVE_1000,SHUSS_1000_C128,1179,1118,1187,1105
2021_04_07_19_26_40,RAVE_1000,SHUSS_1000_C128,RAVE_1000,1105,1187,1123,1174
2021_04_07_19_26_40,SHUSS_1000_C256,UCB_1000,SHUSS_1000_C256,1235,1116,1245,1109
2021_04_07_19_26_40,UCB_1000,SHUSS_1000_C256,SHUSS_1000_C256,1109,1245,1102,1254
2021_04_07_19_26_40,SH_1000,FLAT_1000,FLAT_1000,1296,1025,1271,1049
2021_04_07_19_26_40,FLAT_1000,SH_1000,FLAT_1000,1049,1271,1072,1255
2021_04_07_19_26_40,SHUSS_1000_C64,UCT_1000,SHUSS_1000_C64,1274,1163,1280,1152
2021_04_07_19_26_40,UCT_1000,SHUSS_1000_C64,SHUSS_1000_C64,1152,1280,1145,1286
2021_04_07_19_26_40,SHUSS_1000_C256,SH_1000,SHUSS_1000_C256,1254,1255,1264,1244
2021_04_07_19_26_40,SH_1000,SHUSS_1000_C256,SHUSS_1000_C256,1244,1264,1234,1273
2021_04_07_19_26_40,SH_1000,RAVE_1000,SH_1000,1234,1123,1240,1112
2021_04_07_19_26_40,RAVE_1000,SH_1000,RAVE_1000,1112,1240,1132,1226
2021_04_07_19_26_40,SHUSS_1000_C64,SHUSS_1000_C256,SHUSS_1000_C256,1286,1273,1275,1283
2021_04_07_19_26_40,SHUSS_1000_C256,SHUSS_1000_C64,SHUSS_1000_C64,1283,1275,1272,1285
2021_04_07_19_26_40,SHUSS_1000_C256,RAVE_1000,SHUSS_1000_C256,1272,1132,1278,1125
2021_04_07_19_26_40,RAVE_1000,SHUSS_1000_C256,RAVE_1000,1125,1278,1139,1263
2021_04_07_19_26_40,UCT_1000,SH_1000,UCT_1000,1145,1226,1157,1213
