Unnamed: 0,datetime,White,Black,Winner,Elo White Before,Elo Black Before,Elo White After,Elo Black After
,2021_04_08_14_15_58,SHUSS_1000_C256,SHUSS_1000_C64,SHUSS_1000_C256,1271,1330,1282,1318
,2021_04_08_14_15_58,SHUSS_1000_C256,UCB_1000,SHUSS_1000_C256,1282,1027,1285,1023
,2021_04_08_14_15_58,UCB_1000,SHUSS_1000_C256,SHUSS_1000_C256,1023,1285,1019,1288
,2021_04_08_14_15_58,SHUSS_1000_C64,FLAT_1000,SHUSS_1000_C64,1318,1018,1321,1014
,2021_04_08_14_15_58,FLAT_1000,SHUSS_1000_C64,SHUSS_1000_C64,1014,1321,1011,1323
,2021_04_08_14_15_58,SHUSS_1000_C16,FLAT_1000,SHUSS_1000_C16,1236,1011,1240,1006
,2021_04_08_14_15_58,FLAT_1000,SHUSS_1000_C16,SHUSS_1000_C16,1006,1240,1001,1244
,2021_04_08_14_15_58,SHUSS_1000_C256,FLAT_1000,SHUSS_1000_C256,1288,1001,1291,997
,2021_04_08_14_15_58,FLAT_1000,SHUSS_1000_C256,SHUSS_1000_C256,997,1291,993,1294
,2021_04_08_14_15_58,RAVE_1000,UCB_1000,RAVE_1000,1132,1019,1138,1012
,2021_04_08_14_15_58,UCB_1000,RAVE_1000,RAVE_1000,1012,1138,1005,1144
,2021_04_08_14_15_58,UCT_1000,RAVE_1000,UCT_1000,1232,1144,1239,1136
,2021_04_08_14_15_58,RAVE_1000,UCT_1000,RAVE_1000,1136,1239,1148,1226
,2021_04_08_14_15_58,GRAVE_1000,UCB_1000,UCB_1000,1167,1005,1152,1019
,2021_04_08_14_15_58,UCB_1000,GRAVE_1000,GRAVE_1000,1019,1152,1012,1158
,2021_04_08_14_15_58,SHUSS_1000_C64,GRAVE_1000,SHUSS_1000_C64,1323,1158,1328,1152
,2021_04_08_14_15_58,GRAVE_1000,SHUSS_1000_C64,SHUSS_1000_C64,1152,1328,1146,1333
,2021_04_08_14_15_58,SHUSS_1000_C256,RAVE_1000,SHUSS_1000_C256,1294,1148,1300,1141
,2021_04_08_14_15_58,RAVE_1000,SHUSS_1000_C256,SHUSS_1000_C256,1141,1300,1135,1305
,2021_04_08_14_15_58,UCT_1000,FLAT_1000,FLAT_1000,1226,993,1210,1008
,2021_04_08_14_15_58,FLAT_1000,UCT_1000,UCT_1000,1008,1210,1003,1214
,2021_04_08_14_15_58,SHUSS_1000_C16,SHUSS_1000_C256,SHUSS_1000_C256,1244,1305,1235,1313
,2021_04_08_14_15_58,SHUSS_1000_C256,SHUSS_1000_C16,SHUSS_1000_C16,1313,1235,1300,1247
,2021_04_08_14_15_58,SHUSS_1000_C16,UCB_1000,SHUSS_1000_C16,1247,1012,1251,1007
,2021_04_08_14_15_58,UCB_1000,SHUSS_1000_C16,SHUSS_1000_C16,1007,1251,1003,1254
,2021_04_08_14_15_58,SHUSS_1000_C128,FLAT_1000,SHUSS_1000_C128,1334,1003,1336,1000
,2021_04_08_14_15_58,FLAT_1000,SHUSS_1000_C128,SHUSS_1000_C128,1000,1336,997,1338
