white_bot,black_bot,score,time
GRAVE_1000,UCB_1000,0.0,327.8454224449997
UCB_1000,GRAVE_1000,0.0,206.29740368299827
SHUSS_1000_C64,GRAVE_1000,1.0,214.2640409869964
GRAVE_1000,SHUSS_1000_C64,0.0,404.117681507003
SHUSS_1000_C256,RAVE_1000,1.0,64.25118411099902
RAVE_1000,SHUSS_1000_C256,0.0,82.55200022999998
UCT_1000,FLAT_1000,0.0,225.41251304800244
FLAT_1000,UCT_1000,0.0,329.2299263629975
SHUSS_1000_C16,SHUSS_1000_C256,0.0,410.3122501750004
SHUSS_1000_C256,SHUSS_1000_C16,0.0,281.26660358700246
SHUSS_1000_C16,UCB_1000,1.0,158.42775064200032
UCB_1000,SHUSS_1000_C16,0.0,213.33664667999983
SHUSS_1000_C128,FLAT_1000,1.0,135.30916894700204
FLAT_1000,SHUSS_1000_C128,0.0,151.32367713099666
SHUSS_1000_C16,UCT_1000,1.0,228.63517342600244
UCT_1000,SHUSS_1000_C16,1.0,188.8689542889988
SHUSS_1000_C256,UCT_1000,1.0,196.90565896500266
UCT_1000,SHUSS_1000_C256,0.0,116.53841884699796
SHUSS_1000_C16,SHUSS_1000_C128,0.0,124.65514797099968
SHUSS_1000_C128,SHUSS_1000_C16,0.0,79.10002664099738
SHUSS_1000_C64,UCB_1000,1.0,66.97025254099935
UCB_1000,SHUSS_1000_C64,0.0,41.139389690000826
SHUSS_1000_C128,SH_1000,1.0,104.72356171799765
SH_1000,SHUSS_1000_C128,0.0,96.96862339899963
SH_1000,UCB_1000,1.0,111.32595076600046
UCB_1000,SH_1000,0.0,441.794736251999
SHUSS_1000_C16,SHUSS_1000_C64,0.0,125.2953025909992
SHUSS_1000_C64,SHUSS_1000_C16,0.0,117.58803156800059
SHUSS_1000_C128,UCT_1000,1.0,106.24520868000036
UCT_1000,SHUSS_1000_C128,0.0,190.53083230000266
SH_1000,FLAT_1000,1.0,301.5624976090003
FLAT_1000,SH_1000,0.0,107.35207976600213
GRAVE_1000,FLAT_1000,0.0,305.6293729960016
FLAT_1000,GRAVE_1000,0.0,73.13260707500012
SHUSS_1000_C16,GRAVE_1000,1.0,156.97852413299915
GRAVE_1000,SHUSS_1000_C16,0.0,209.7213201609993
SHUSS_1000_C256,SH_1000,1.0,239.8872207179993
SH_1000,SHUSS_1000_C256,0.0,46.384890713998175
SHUSS_1000_C64,SH_1000,1.0,73.12006780000229
SH_1000,SHUSS_1000_C64,0.0,87.00047345699932
RAVE_1000,FLAT_1000,0.0,233.47237946699897
FLAT_1000,RAVE_1000,0.0,262.41061088599963
SHUSS_1000_C128,RAVE_1000,0.0,377.0428930039998
RAVE_1000,SHUSS_1000_C128,0.0,301.80512396599806
SHUSS_1000_C128,FLAT_1000,1.0,206.2182551299993
FLAT_1000,SHUSS_1000_C128,0.0,356.67522004700004
UCB_1000,FLAT_1000,0.0,394.1199874890008
FLAT_1000,UCB_1000,0.0,238.43174732499756
SHUSS_1000_C128,UCB_1000,1.0,31.617776507999224
UCB_1000,SHUSS_1000_C128,0.0,218.94508387800306
SHUSS_1000_C64,SHUSS_1000_C256,1.0,320.3297953049987
SHUSS_1000_C256,SHUSS_1000_C64,0.0,183.91254892599682
SHUSS_1000_C256,FLAT_1000,1.0,172.49237297000218
FLAT_1000,SHUSS_1000_C256,0.0,177.60238856700016
SHUSS_1000_C64,UCB_1000,1.0,168.64718228799757
UCB_1000,SHUSS_1000_C64,0.0,100.92932824899617
UCT_1000,FLAT_1000,1.0,54.44151955199777
FLAT_1000,UCT_1000,0.0,216.7347269230013
SHUSS_1000_C16,SH_1000,1.0,116.49862995500007
SH_1000,SHUSS_1000_C16,0.0,205.7525068660034
SHUSS_1000_C16,SHUSS_1000_C256,1.0,213.29495369899814
SHUSS_1000_C256,SHUSS_1000_C16,1.0,118.93414158899395
GRAVE_1000,RAVE_1000,1.0,307.0341323839966
RAVE_1000,GRAVE_1000,0.0,243.47705416100507
SHUSS_1000_C16,FLAT_1000,1.0,329.0519254269966
FLAT_1000,SHUSS_1000_C16,0.0,97.81804182499764
SHUSS_1000_C64,UCT_1000,1.0,125.7746109639993
UCT_1000,SHUSS_1000_C64,0.0,141.23431519999576
SHUSS_1000_C64,RAVE_1000,1.0,174.53306828199857
RAVE_1000,SHUSS_1000_C64,0.0,216.43908357300097
SHUSS_1000_C64,GRAVE_1000,0.0,232.2143115660001
GRAVE_1000,SHUSS_1000_C64,0.0,103.64285517000098
SHUSS_1000_C128,SHUSS_1000_C256,1.0,197.3605147099952
SHUSS_1000_C256,SHUSS_1000_C128,1.0,383.31493388200033
SHUSS_1000_C16,RAVE_1000,,206.10856990900356
RAVE_1000,SHUSS_1000_C16,0.0,344.72148029600066
SHUSS_1000_C64,FLAT_1000,1.0,177.90760856700217
FLAT_1000,SHUSS_1000_C64,0.0,73.25614777799638
SHUSS_1000_C64,SH_1000,1.0,362.246082605001
SH_1000,SHUSS_1000_C64,0.0,272.87040062200685
UCT_1000,RAVE_1000,1.0,426.74908776899974
RAVE_1000,UCT_1000,0.0,555.6033366160045
RAVE_1000,FLAT_1000,1.0,150.69593152699963
FLAT_1000,RAVE_1000,0.0,135.19421448399953
UCT_1000,UCB_1000,1.0,90.53468643600354
UCB_1000,UCT_1000,0.0,135.321478990998
SHUSS_1000_C128,UCT_1000,0.0,261.17123132699635
UCT_1000,SHUSS_1000_C128,0.0,131.12932055900455
SHUSS_1000_C256,GRAVE_1000,1.0,49.78763871800038
GRAVE_1000,SHUSS_1000_C256,0.0,92.82975830000214
SH_1000,UCB_1000,1.0,196.25380546399538
UCB_1000,SH_1000,0.0,184.04793845899985
SHUSS_1000_C64,SHUSS_1000_C128,0.0,175.8655426549958
SHUSS_1000_C128,SHUSS_1000_C64,0.0,168.64908490899688
RAVE_1000,UCB_1000,0.0,190.75157623699488
UCB_1000,RAVE_1000,0.0,209.56181236399425
GRAVE_1000,UCB_1000,1.0,187.04638439299742
UCB_1000,GRAVE_1000,0.0,5578.1437913290065
SHUSS_1000_C16,UCB_1000,1.0,67.52983715900336
UCB_1000,SHUSS_1000_C16,1.0,92.603201291
SHUSS_1000_C16,SHUSS_1000_C128,1.0,87.45830529899831
SHUSS_1000_C128,SHUSS_1000_C16,0.0,102.0399826799985
SH_1000,FLAT_1000,0.0,215.87161557999934
FLAT_1000,SH_1000,0.0,77.102199054003
SHUSS_1000_C256,UCT_1000,1.0,193.5648342620043
UCT_1000,SHUSS_1000_C256,0.0,140.51236245699693
